BlockNumber;Time Since Block start in ms;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present
0;0;instantiate;0;0;0,5009597;0,4288107;0,3487278;0,7026609;0;0;0;1;1
0;0,6710205;mouse;1;0;0,3608445;0,7043551;0,3487278;0,7026609;0;0,862698;0,6710205;1;1
0;1,007332;instantiate;0;1;0,4174664;0,5963149;0,5415096;0,3335352;0;0;0;1;2
0;1,681046;mouse;1;1;0,5431862;0,3291457;0,5415096;0,3335352;0;0,8600182;0,6737137;1;1
0;2,018326;instantiate;0;2;0,5191939;0,4145729;0,7348165;0,3933418;0;0;0;1;3
0;2,673004;mouse;1;2;0,7744722;0,3919598;0,7348165;0,3933418;0;0,8787956;0,6546783;1;2
0;3,025322;instantiate;0;3;0,7543186;0,3961474;0,6166731;0,5865459;0;0;0;1;4
0;3,598763;mouse;1;3;0,6247601;0,5695142;0,6166731;0,5865459;0;0,9529356;0,5734406;1;2
0;4,036354;instantiate;0;4;0,6151631;0,557789;0,8143716;0,6937595;0;0;0;1;5
0;4,884666;mouse;1;4;0,8282149;0,6934673;0,8143716;0,6937595;0;0,6470016;0,8483124;1;1
1;0;instantiate;0;0;0,5345489;0,5435511;0,6805651;0,5461397;0;0;0;1;6
1;0,6906738;mouse;1;0;0,6679463;0,5477387;0,6805651;0,5461397;0;0,8430938;0,6906738;1;1
1;1,010323;instantiate;0;1;0,6641075;0,5167504;0,7904987;0,5892124;0;0;0;1;7
1;1,63488;mouse;1;1;0,7629558;0,6013401;0,7904987;0,5892124;0;0,9073532;0,6245575;1;2
1;2,020866;instantiate;0;2;0,6727448;0,5393635;0,3116294;0,7053483;0;0;0;1;8
1;2,710541;mouse;1;2;0,3195777;0,721943;0,3116294;0,7053483;0;0,8441494;0,6896744;1;1
1;3,030525;instantiate;0;3;0,3426104;0,6649916;0,79966;0,7135053;0;0;0;1;9
1;3,85556;mouse;1;3;0,7984645;0,7185929;0,79966;0,7135053;0;0,6813999;0,8250351;1;1
1;4,042198;instantiate;0;4;0,7821497;0,7018425;0,3246583;0,2726209;0;0;0;1;10
1;4,883812;mouse;1;4;0,3099808;0,2721943;0,3246583;0,2726209;0;0,6572127;0,8416138;1;1
