BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;0,5732087;0,6147404;0,4553036;0,6483343;0;0;0;2,5;1;0;0;0;0
0;0,7764168;mouse;1;0;0,443406;0,6474037;0,4553036;0,6483343;0;1;0,7764168;2,5;1;0,7404728;0,01236112;0,01193394;1,051459
0;2,510792;instantiate;0;1;0,5140187;0,5536013;0,6686959;0,7602133;0;0;0;2,5;2;0;0;0;0
0;3,234921;mouse;1;1;0,6656283;0,7445561;0,6686959;0,7602133;0;1;0,7241287;2,5;1;0,6904716;-0,01137979;0,01595487;1,693564
0;5,020739;instantiate;0;2;0,6168224;0,559464;0,7823393;0,1162587;0;0;0;2,5;3;0;0;0;0
0;6,888924;mouse;1;2;0,7829699;0,1356784;0,7823393;0,1162587;0;1;1,868185;2,5;1;1,83485;1,467966;0,01942992;3,289801
1;0;instantiate;0;0;0,7518172;0,1909548;0,7398431;0,1434771;0;0;0;2,5;4;0;0;0;0
1;0,7710228;mouse;1;0;0,7352025;0,160804;0,7398431;0,1434771;0;1;0,7710228;2,5;1;0,7369728;-0,01261146;0,01793755;0,2827174
1;2,515638;instantiate;0;1;0,7352025;0,1624791;0,6262149;0,2653056;0;0;0;2,5;5;0;0;0;0
1;3,707327;mouse;1;1;0,6375909;0,2512563;0,6262149;0,2653056;0;1;1,191689;2,5;1;1,158054;-0,01580229;0,01807752;0,4900143
1;5,018122;instantiate;0;2;0,6375909;0,2512563;0,7556953;0,7659373;0;0;0;2,5;6;0;0;0;0
1;6,871809;mouse;1;2;0,7435099;0,7730318;0,7556953;0,7659373;0;1;1,853687;2,5;1;1,819672;4,445878;0,01623213;6,664676
