BlockNumber;SeqNumber;ItemNumber;buttonPressed;buttonTarget;CircleTarget;timeAvailable;timeToButtonPressed
0;0;0;3;3;1;1000;1699
0;0;1;1;1;4;550;860
0;0;2;3;3;1;900;1277
0;0;3;0;0;2;750;977
0;0;4;2;2;5;600;866
0;0;5;0;0;0;300;1080
0;0;6;1;1;3;400;929
0;0;7;2;2;0;1000;910
0;0;8;3;3;4;500;1096
0;0;9;2;2;3;800;868
0;0;10;0;0;5;650;897
0;0;11;1;1;2;700;1159
0;1;0;3;3;4;650;1572
0;1;1;2;2;5;600;1319
0;1;2;1;1;2;300;1057
0;1;3;2;2;1;1000;1123
0;1;4;1;1;5;900;879
0;1;5;0;0;0;800;967
0;1;6;3;3;1;750;1153
0;1;7;2;2;0;400;1059
0;1;8;1;1;3;1000;993
0;1;9;0;0;2;500;944
0;1;10;3;3;3;700;1063
0;1;11;0;0;4;550;1038
1;0;0;2;2;0;1000;1094
1;0;1;1;1;3;500;959
1;0;2;0;0;2;650;938
1;0;3;2;2;5;900;861
1;0;4;3;3;1;1000;1124
1;0;5;2;1;3;400;1424
1;0;6;2;2;4;550;480
1;0;7;2;0;2;800;748
1;0;8;2;3;1;600;524
1;0;9;2;1;0;750;529
1;0;10;2;0;5;300;184
1;0;11;2;3;4;700;382
1;1;0;2;2;0;1000;1011
1;1;1;2;1;3;500;456
1;1;2;2;0;2;650;463
1;1;3;2;2;5;900;396
1;1;4;2;3;1;1000;480
1;1;5;2;1;3;400;431
1;1;6;2;2;4;550;579
1;1;7;2;0;2;800;563
1;1;8;2;3;1;600;524
1;1;9;2;1;0;750;523
1;1;10;2;0;5;300;488
1;1;11;2;3;4;700;611
